[2026-04-04 11:06:34] === RPCS3 copy started ===
[2026-04-04 11:06:34] Source: C:\MY_GAMES\RPCS3\
[2026-04-04 11:06:34] Dest:   D:\RPCS3
[2026-04-04 11:06:45]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-5W5eeQiJvQ6CceHHaAYJqa-00001G-znver5.obj.gz
[2026-04-04 11:06:46]    Copied in 0.67s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-5Z2jqwFtWRzZaXu3N40wyn-00001G-znver5.obj.gz
[2026-04-04 11:06:46]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-5Z2jqwFtWRzZaXu3N40wyn-00001G-znver5.obj.gz
[2026-04-04 11:06:47]    Copied in 0.67s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-6LMYovSvgUFNWqmdKEWKpd-00001G-znver5.obj.gz
[2026-04-04 11:06:47]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-6LMYovSvgUFNWqmdKEWKpd-00001G-znver5.obj.gz
[2026-04-04 11:06:48]    Copied in 0.71s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-7hjyY8wabtQgk5PGW7z0uk-00001G-znver5.obj.gz
[2026-04-04 11:06:48]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-7hjyY8wabtQgk5PGW7z0uk-00001G-znver5.obj.gz
[2026-04-04 11:06:48]    Copied in 0.05s at 3.6 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-8fy4vuLz5E3iQKSREvtmyX-00001G-znver5.obj.gz
[2026-04-04 11:06:48]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-8fy4vuLz5E3iQKSREvtmyX-00001G-znver5.obj.gz
[2026-04-04 11:06:48]    Copied in 0.05s at 3.6 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-8va6enYXGgK6XaFM9sSAmV-00001G-znver5.obj.gz
[2026-04-04 11:06:48]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-8va6enYXGgK6XaFM9sSAmV-00001G-znver5.obj.gz
[2026-04-04 11:06:48]    Copied in 0.14s at 1.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-ASTTKs3SnAepaCAotdJaXJ-00001G-znver5.obj.gz
[2026-04-04 11:06:48]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-ASTTKs3SnAepaCAotdJaXJ-00001G-znver5.obj.gz
[2026-04-04 11:06:48]    Copied in 0.06s at 2.8 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-b7anj0zjzHVVGnhiWvSW7E-00001G-znver5.obj.gz
